Team,Player
Team Falcons,Happy
Team Falcons,Proper
Team Falcons,Stalk3r
Team Falcons,smurf
Team Falcons,Hanbin
Team Falcons,ChiYo
Team Falcons,Fielder
Team Falcons,SirMajed
ZETA DIVISION,Flora
ZETA DIVISION,AlphaYi
ZETA DIVISION,Pelican
ZETA DIVISION,HEESUNG
ZETA DIVISION,BERNAR
ZETA DIVISION,Viol2t
ZETA DIVISION,FiNN
Crazy Raccoon,LIP
Crazy Raccoon,HeeSang
Crazy Raccoon,KNIFE
Crazy Raccoon,Junbin
Crazy Raccoon,MAX
Crazy Raccoon,CH0R0NG
Crazy Raccoon,Shu
Lazuli,Hidden
Lazuli,CC2
Lazuli,Leonopteryx
Lazuli,GodSam
Lazuli,kiru01
Lazuli,Sakume
Lazuli,Neivis
Lazuli,Schwi
Nyam Gaming,Scarlett
Nyam Gaming,Daisy
Nyam Gaming,DOX
Nyam Gaming,chang
Nyam Gaming,Mimoza
Nyam Gaming,Ydot
Bleed Esports,HVS
Bleed Esports,Ace
Bleed Esports,SeungAn
Bleed Esports,lumi
Bleed Esports,PaLee
Bleed Esports,MAKA
99DIVINE,sgy
99DIVINE,Colourhex
99DIVINE,R3K
99DIVINE,OPENER
99DIVINE,Lightt
99DIVINE,RAYMOMO
Poker Face,Proud
Poker Face,ChoiSehwan
Poker Face,JaeWoo
Poker Face,Belosrea
Poker Face,Jasm1ne
Poker Face,FiXa
Poker Face,Simple
Poker Face,CARU
